in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
2,1,3,0.056585,147.14353,dy_42_dx_01_dy_03.png
-2,-1,-2,0.092379,215.729941,dy_4-2_dx_0-1_dy_0-2.png
-1,-1,-2,0.095371,206.298598,dy_4-1_dx_0-1_dy_0-2.png
0,-1,-2,0.145019,210.094795,dy_40_dx_0-1_dy_0-2.png
1,-1,-2,0.119304,227.270422,dy_41_dx_0-1_dy_0-2.png
2,-1,-2,0.067523,255.653157,dy_42_dx_0-1_dy_0-2.png
-2,-0.5,-2,0.091596,194.852452,dy_4-2_dx_0-0.5_dy_0-2.png
-1,-0.5,-2,0.082012,186.877753,dy_4-1_dx_0-0.5_dy_0-2.png
0,-0.5,-2,0.11853,192.849379,dy_40_dx_0-0.5_dy_0-2.png
1,-0.5,-2,0.107727,211.659613,dy_41_dx_0-0.5_dy_0-2.png
2,-0.5,-2,0.065326,241.154793,dy_42_dx_0-0.5_dy_0-2.png
-2,0,-2,0.089128,176.021438,dy_4-2_dx_00_dy_0-2.png
-1,0,-2,0.067709,170.405603,dy_4-1_dx_00_dy_0-2.png
0,0,-2,0.102844,178.960834,dy_40_dx_00_dy_0-2.png
1,0,-2,0.102455,199.330053,dy_41_dx_00_dy_0-2.png
2,0,-2,0.064774,229.776816,dy_42_dx_00_dy_0-2.png
-2,0.5,-2,0.07765,158.968629,dy_4-2_dx_00.5_dy_0-2.png
-1,0.5,-2,0.058358,157.491468,dy_4-1_dx_00.5_dy_0-2.png
0,0.5,-2,0.098697,168.651614,dy_40_dx_00.5_dy_0-2.png
1,0.5,-2,0.103933,190.240063,dy_41_dx_00.5_dy_0-2.png
2,0.5,-2,0.065996,221.361533,dy_42_dx_00.5_dy_0-2.png
-2,1,-2,0.047251,143.602607,dy_4-2_dx_01_dy_0-2.png
-1,1,-2,0.05844,149.400885,dy_4-1_dx_01_dy_0-2.png
0,1,-2,0.106227,162.069296,dy_40_dx_01_dy_0-2.png
1,1,-2,0.11243,184.227494,dy_41_dx_01_dy_0-2.png
2,1,-2,0.068906,215.644482,dy_42_dx_01_dy_0-2.png
-2,-1,-0.75,0.071063,195.359591,dy_4-2_dx_0-1_dy_0-0.75.png
-1,-1,-0.75,0.124551,173.789277,dy_4-1_dx_0-1_dy_0-0.75.png
0,-1,-0.75,0.307196,167.842991,dy_40_dx_0-1_dy_0-0.75.png
1,-1,-0.75,0.134101,179.624867,dy_41_dx_0-1_dy_0-0.75.png
2,-1,-0.75,0.063711,205.313866,dy_42_dx_0-1_dy_0-0.75.png
-2,-0.5,-0.75,0.056898,177.055556,dy_4-2_dx_0-0.5_dy_0-0.75.png
-1,-0.5,-0.75,0.120729,153.789058,dy_4-1_dx_0-0.5_dy_0-0.75.png
0,-0.5,-0.75,0.220066,148.714859,dy_40_dx_0-0.5_dy_0-0.75.png
1,-0.5,-0.75,0.112454,162.697751,dy_41_dx_0-0.5_dy_0-0.75.png
2,-0.5,-0.75,0.061203,190.175675,dy_42_dx_0-0.5_dy_0-0.75.png
-2,0,-0.75,0.04688,163.282471,dy_4-2_dx_00_dy_0-0.75.png
-1,0,-0.75,0.109089,137.360147,dy_4-1_dx_00_dy_0-0.75.png
0,0,-0.75,0.150103,133.766922,dy_40_dx_00_dy_0-0.75.png
1,0,-0.75,0.103037,150.574763,dy_41_dx_00_dy_0-0.75.png
2,0,-0.75,0.062162,179.831427,dy_42_dx_00_dy_0-0.75.png
-2,0.5,-0.75,0.050326,153.612306,dy_4-2_dx_00.5_dy_0-0.75.png
-1,0.5,-0.75,0.076317,123.335814,dy_4-1_dx_00.5_dy_0-0.75.png
0,0.5,-0.75,0.116599,122.566814,dy_40_dx_00.5_dy_0-0.75.png
1,0.5,-0.75,0.108464,142.56964,dy_41_dx_00.5_dy_0-0.75.png
2,0.5,-0.75,0.066642,173.276718,dy_42_dx_00.5_dy_0-0.75.png
-2,1,-0.75,0.058714,148.461768,dy_4-2_dx_01_dy_0-0.75.png
-1,1,-0.75,0.067171,112.190058,dy_4-1_dx_01_dy_0-0.75.png
0,1,-0.75,0.126901,116.266771,dy_40_dx_01_dy_0-0.75.png
1,1,-0.75,0.129975,138.373927,dy_41_dx_01_dy_0-0.75.png
2,1,-0.75,0.073819,169.779535,dy_42_dx_01_dy_0-0.75.png
-2,-1,0.5,0.086368,186.329948,dy_4-2_dx_0-1_dy_00.5.png
-1,-1,0.5,0.069413,156.750575,dy_4-1_dx_0-1_dy_00.5.png
0,-1,0.5,0.381608,138.966133,dy_40_dx_0-1_dy_00.5.png
1,-1,0.5,0.282401,139.984569,dy_41_dx_0-1_dy_00.5.png
2,-1,0.5,0.062315,159.298457,dy_42_dx_0-1_dy_00.5.png
-2,-0.5,0.5,0.190216,177.740074,dy_4-2_dx_0-0.5_dy_00.5.png
-1,-0.5,0.5,0.237458,146.15046,dy_4-1_dx_0-0.5_dy_00.5.png
0,-0.5,0.5,0.685188,126.345996,dy_40_dx_0-0.5_dy_00.5.png
1,-0.5,0.5,0.635251,127.539113,dy_41_dx_0-0.5_dy_00.5.png
2,-0.5,0.5,0.223091,148.96703,dy_42_dx_0-0.5_dy_00.5.png
-2,0,0.5,0.12321,172.498658,dy_4-2_dx_00_dy_00.5.png
-1,0,0.5,0.163304,138.750393,dy_4-1_dx_00_dy_00.5.png
0,0,0.5,0.773241,116.01565,dy_40_dx_00_dy_00.5.png
1,0,0.5,0.604045,117.511656,dy_41_dx_00_dy_00.5.png
2,0,0.5,0.154525,141.887108,dy_42_dx_00_dy_00.5.png
-2,0.5,0.5,0.10057,168.951291,dy_4-2_dx_00.5_dy_00.5.png
-1,0.5,0.5,0.13637,133.287695,dy_4-1_dx_00.5_dy_00.5.png
0,0.5,0.5,0.731567,106.437401,dy_40_dx_00.5_dy_00.5.png
1,0.5,0.5,0.55677,108.526914,dy_41_dx_00.5_dy_00.5.png
2,0.5,0.5,0.129677,136.74277,dy_42_dx_00.5_dy_00.5.png
-2,1,0.5,0.092856,167.434854,dy_4-2_dx_01_dy_00.5.png
-1,1,0.5,0.127844,130.785392,dy_4-1_dx_01_dy_00.5.png
0,1,0.5,0.719915,100.128511,dy_40_dx_01_dy_00.5.png
1,1,0.5,0.543322,103.105791,dy_41_dx_01_dy_00.5.png
2,1,0.5,0.121531,134.419458,dy_42_dx_01_dy_00.5.png
-2,-1,1.75,0.053858,234.39694,dy_4-2_dx_0-1_dy_01.75.png
-1,-1,1.75,0.06573,201.338911,dy_4-1_dx_0-1_dy_01.75.png
0,-1,1.75,0.15032,176.668667,dy_40_dx_0-1_dy_01.75.png
1,-1,1.75,0.30578,166.505681,dy_41_dx_0-1_dy_01.75.png
2,-1,1.75,0.116019,174.256626,dy_42_dx_0-1_dy_01.75.png
-2,-0.5,1.75,0.053411,220.412195,dy_4-2_dx_0-0.5_dy_01.75.png
-1,-0.5,1.75,0.062912,186.070993,dy_4-1_dx_0-0.5_dy_01.75.png
0,-0.5,1.75,0.122927,159.537644,dy_40_dx_0-0.5_dy_01.75.png
1,-0.5,1.75,0.229565,147.1987,dy_41_dx_0-0.5_dy_01.75.png
2,-0.5,1.75,0.109521,154.403152,dy_42_dx_0-0.5_dy_01.75.png
-2,0,1.75,0.055361,211.160031,dy_4-2_dx_00_dy_01.75.png
-1,0,1.75,0.063883,175.685789,dy_4-1_dx_00_dy_01.75.png
0,0,1.75,0.110314,147.257197,dy_40_dx_00_dy_01.75.png
1,0,1.75,0.157252,132.013081,dy_41_dx_00_dy_01.75.png
2,0,1.75,0.091867,138.276877,dy_42_dx_00_dy_01.75.png
-2,0.5,1.75,0.059249,205.428974,dy_4-2_dx_00.5_dy_01.75.png
-1,0.5,1.75,0.068751,169.129294,dy_4-1_dx_00.5_dy_01.75.png
0,0.5,1.75,0.115463,139.117753,dy_40_dx_00.5_dy_01.75.png
1,0.5,1.75,0.116183,120.36784,dy_41_dx_00.5_dy_01.75.png
2,0.5,1.75,0.063448,124.804387,dy_42_dx_00.5_dy_01.75.png
-2,1,1.75,0.064284,202.340372,dy_4-2_dx_01_dy_01.75.png
-1,1,1.75,0.076612,165.672908,dy_4-1_dx_01_dy_01.75.png
0,1,1.75,0.140177,134.885076,dy_40_dx_01_dy_01.75.png
1,1,1.75,0.122039,113.619803,dy_41_dx_01_dy_01.75.png
2,1,1.75,0.066932,115.182096,dy_42_dx_01_dy_01.75.png
-2,-1,3,0.058499,286.019481,dy_4-2_dx_0-1_dy_03.png
-1,-1,3,0.069171,251.441672,dy_4-1_dx_0-1_dy_03.png
0,-1,3,0.126492,223.846774,dy_40_dx_0-1_dy_03.png
1,-1,3,0.140245,207.833949,dy_41_dx_0-1_dy_03.png
2,-1,3,0.095587,205.331639,dy_42_dx_0-1_dy_03.png
-2,-0.5,3,0.057501,272.227586,dy_4-2_dx_0-0.5_dy_03.png
-1,-0.5,3,0.066713,236.844875,dy_4-1_dx_0-0.5_dy_03.png
0,-0.5,3,0.112712,208.085128,dy_40_dx_0-0.5_dy_03.png
1,-0.5,3,0.114234,190.364047,dy_41_dx_0-0.5_dy_03.png
2,-0.5,3,0.083016,185.662682,dy_42_dx_0-0.5_dy_03.png
-2,0,3,0.057543,261.454048,dy_4-2_dx_00_dy_03.png
-1,0,3,0.066055,225.417067,dy_4-1_dx_00_dy_03.png
0,0,3,0.106295,195.651455,dy_40_dx_00_dy_03.png
1,0,3,0.098203,176.269798,dy_41_dx_00_dy_03.png
2,0,3,0.068118,168.86022,dy_42_dx_00_dy_03.png
-2,0.5,3,0.058633,253.480498,dy_4-2_dx_00.5_dy_03.png
-1,0.5,3,0.067351,216.998352,dy_4-1_dx_00.5_dy_03.png
0,0.5,3,0.107662,186.513859,dy_40_dx_00.5_dy_03.png
1,0.5,3,0.093431,165.808894,dy_41_dx_00.5_dy_03.png
2,0.5,3,0.057263,155.523723,dy_42_dx_00.5_dy_03.png
-2,1,3,0.060665,247.992546,dy_4-2_dx_01_dy_03.png
-1,1,3,0.070516,211.320239,dy_4-1_dx_01_dy_03.png
0,1,3,0.117162,180.519314,dy_40_dx_01_dy_03.png
1,1,3,0.100157,159.187648,dy_41_dx_01_dy_03.png
